"","分布形态","似然函数值","AIC","BIC"
"MS(1)-GARCH","norm","4503.49105346182","-9000.98210692365","-8982.90457689119"
"MS(1)-GARCH","snorm","4457.12164662492","-8906.24329324985","-8882.13991987324"
"MS(1)-GARCH","std","6014.21902670301","-12020.438053406","-11996.3346800294"
"MS(1)-GARCH","sstd","6038.97114799099","-12067.942295982","-12037.8130792612"
"MS(1)-GARCH","ged","5991.87725091025","-11975.7545018205","-11951.6511284439"
"MS(1)-GARCH","sged","6029.3248232393","-12048.6496464786","-12018.5204297579"
"MS(2)-GARCH","norm-norm","5871.7040217066","-11727.4080434132","-11679.20129666"
"MS(2)-GARCH","snorm-norm","5848.72514148975","-11679.4502829795","-11625.2176928822"
"MS(2)-GARCH","std-norm","6178.81421701004","-12339.6284340201","-12285.3958439227"
"MS(2)-GARCH","sstd-norm","6197.37954884657","-12374.7590976931","-12314.5006642516"
"MS(2)-GARCH","ged-norm","6147.35130884339","-12276.7026176868","-12222.4700275894"
"MS(2)-GARCH","sged-norm","6168.72158848414","-12317.4431769683","-12257.1847435268"
"MS(2)-GARCH","norm-snorm","5872.02599561726","-11726.0519912345","-11671.8194011372"
"MS(2)-GARCH","snorm-snorm","6005.09546136898","-11990.190922738","-11929.9324892964"
"MS(2)-GARCH","std-snorm","6144.52225576268","-12269.0445115254","-12208.7860780838"
"MS(2)-GARCH","sstd-snorm","6197.39541015243","-12372.7908203049","-12306.5065435192"
"MS(2)-GARCH","ged-snorm","6161.74748848416","-12303.4949769683","-12243.2365435268"
"MS(2)-GARCH","sged-snorm","6169.27078882348","-12316.541577647","-12250.2573008613"
"MS(2)-GARCH","norm-std","5960.16285447454","-11902.3257089491","-11848.0931188517"
"MS(2)-GARCH","snorm-std","6189.25304127361","-12358.5060825472","-12298.2476491057"
"MS(2)-GARCH","std-std","6258.39067553436","-12496.7813510687","-12436.5229176272"
"MS(2)-GARCH","sstd-std","6276.60643976508","-12531.2128795302","-12464.9286027445"
"MS(2)-GARCH","ged-std","6215.26929746893","-12410.5385949379","-12350.2801614964"
"MS(2)-GARCH","sged-std","6274.94558407722","-12527.8911681544","-12461.6068913688"
"MS(2)-GARCH","norm-sstd","6135.69992348692","-12251.3998469738","-12191.1414135323"
"MS(2)-GARCH","snorm-sstd","6173.83645030783","-12325.6729006157","-12259.38862383"
"MS(2)-GARCH","std-sstd","6261.19564303321","-12500.3912860664","-12434.1070092808"
"MS(2)-GARCH","sstd-sstd","6277.53163096584","-12531.0632619317","-12458.7531418019"
"MS(2)-GARCH","ged-sstd","6221.56341919531","-12421.1268383906","-12354.842561605"
"MS(2)-GARCH","sged-sstd","6232.74321443149","-12441.486428863","-12369.1763087332"
"MS(2)-GARCH","norm-ged","5963.58049493313","-11909.1609898663","-11854.9283997689"
"MS(2)-GARCH","snorm-ged","6193.45850536107","-12366.9170107221","-12306.6585772806"
"MS(2)-GARCH","std-ged","6268.65921678958","-12517.3184335792","-12457.0600001376"
"MS(2)-GARCH","sstd-ged","6290.07348093127","-12558.1469618625","-12491.8626850769"
"MS(2)-GARCH","ged-ged","6217.66561407086","-12415.3312281417","-12355.0727947002"
"MS(2)-GARCH","sged-ged","6217.56060791042","-12413.1212158208","-12346.8369390352"
"MS(2)-GARCH","norm-sged","6003.75177640017","-11987.5035528003","-11927.2451193588"
"MS(2)-GARCH","snorm-sged","6022.62748467724","-12023.2549693545","-11956.9706925688"
"MS(2)-GARCH","std-sged","6239.35041044753","-12456.7008208951","-12390.4165441094"
"MS(2)-GARCH","sstd-sged","6246.70355264888","-12469.4071052978","-12397.0969851679"
