"","模型","分布","Loglik","AIC","BIC"
"1","MSGARCH-3","norm-norm-norm",6026.88793044721,-12023.7758608944,-11933.3882107322
"2","MSGARCH-3","snorm-norm-norm",6197.66957775803,-12363.3391555161,-12266.9256620096
"3","MSGARCH-3","std-norm-norm",6230.69366048198,-12429.387320964,-12332.9738274575
"4","MSGARCH-3","sstd-norm-norm",6254.72890205115,-12475.4578041023,-12373.0184672517
"5","MSGARCH-3","ged-norm-norm",6223.27843649742,-12414.5568729948,-12318.1433794884
"6","MSGARCH-3","sged-norm-norm",6252.930467132,-12471.860934264,-12369.4215974134
"7","MSGARCH-3","norm-snorm-norm",6031.73806370507,-12031.4761274101,-11935.0626339037
"8","MSGARCH-3","snorm-snorm-norm",6200.60081815158,-12367.2016363032,-12264.7622994526
"9","MSGARCH-3","std-snorm-norm",6231.50517153498,-12429.01034307,-12326.5710062194
"10","MSGARCH-3","sstd-snorm-norm",6253.76838954579,-12471.5367790916,-12363.0715988969
"11","MSGARCH-3","ged-snorm-norm",6232.58175650503,-12431.1635130101,-12328.7241761595
"12","MSGARCH-3","sged-snorm-norm",6248.51339708492,-12461.0267941698,-12352.5616139751
"13","MSGARCH-3","norm-std-norm",6056.34241949685,-12080.6848389937,-11984.2713454873
"14","MSGARCH-3","snorm-std-norm",6239.52890788589,-12445.0578157718,-12342.6184789212
"15","MSGARCH-3","std-std-norm",6258.34303089777,-12482.6860617955,-12380.246724945
"16","MSGARCH-3","sstd-std-norm",6286.29851525748,-12536.597030515,-12428.1318503202
"17","MSGARCH-3","ged-std-norm",6250.72709972532,-12467.4541994506,-12365.0148626001
"18","MSGARCH-3","sged-std-norm",6286.53362685881,-12537.0672537176,-12428.6020735229
"19","MSGARCH-3","norm-sstd-norm",6060.70152712049,-12087.403054241,-11984.9637173904
"20","MSGARCH-3","snorm-sstd-norm",6231.11478630666,-12426.2295726133,-12317.7643924186
"21","MSGARCH-3","std-sstd-norm",6273.56482191727,-12511.1296438345,-12402.6644636398
"22","MSGARCH-3","sstd-sstd-norm",6287.13524961689,-12536.2704992338,-12421.7794756949
"23","MSGARCH-3","ged-sstd-norm",6288.57916830375,-12541.1583366075,-12432.6931564128
"24","MSGARCH-3","sged-sstd-norm",6292.29236613652,-12546.584732273,-12432.0937087342
"25","MSGARCH-3","norm-ged-norm",6084.05850150106,-12136.1170030021,-12039.7035094957
"26","MSGARCH-3","snorm-ged-norm",6247.29407604469,-12460.5881520894,-12358.1488152388
"27","MSGARCH-3","std-ged-norm",6284.33423407287,-12534.6684681457,-12432.2291312952
"28","MSGARCH-3","sstd-ged-norm",6306.88681205669,-12577.7736241134,-12469.3084439187
"29","MSGARCH-3","ged-ged-norm",6245.08263229767,-12456.1652645953,-12353.7259277448
"30","MSGARCH-3","sged-ged-norm",6295.50789747906,-12555.0157949581,-12446.5506147634
"31","MSGARCH-3","norm-sged-norm",6149.73446540785,-12265.4689308157,-12163.0295939651
"32","MSGARCH-3","snorm-sged-norm",6238.26450808991,-12440.5290161798,-12332.0638359851
"33","MSGARCH-3","std-sged-norm",6280.19461787249,-12524.389235745,-12415.9240555503
"34","MSGARCH-3","sstd-sged-norm",6299.27030454279,-12560.5406090856,-12446.0495855467
"35","MSGARCH-3","ged-sged-norm",6261.2567178757,-12486.5134357514,-12378.0482555567
"36","MSGARCH-3","sged-sged-norm",6307.58476809606,-12577.1695361921,-12462.6785126532
"37","MSGARCH-3","norm-norm-snorm",6134.56180666391,-12237.1236133278,-12140.7101198214
"38","MSGARCH-3","snorm-norm-snorm",6210.45730544684,-12386.9146108937,-12284.4752740431
"39","MSGARCH-3","std-norm-snorm",6231.40024009802,-12428.800480196,-12326.3611433455
"40","MSGARCH-3","sstd-norm-snorm",6254.90489193372,-12473.8097838674,-12365.3446036727
"41","MSGARCH-3","ged-norm-snorm",6224.16631292236,-12414.3326258447,-12311.8932889942
"42","MSGARCH-3","sged-norm-snorm",6252.97284561286,-12469.9456912257,-12361.480511031
"43","MSGARCH-3","norm-snorm-snorm",6030.77592147113,-12027.5518429423,-11925.1125060917
"44","MSGARCH-3","snorm-snorm-snorm",6218.55671947435,-12401.1134389487,-12292.648258754
"45","MSGARCH-3","std-snorm-snorm",6233.47871929752,-12430.957438595,-12322.4922584003
"46","MSGARCH-3","sstd-snorm-snorm",6253.18632281542,-12468.3726456308,-12353.881622092
"47","MSGARCH-3","ged-snorm-snorm",6232.25303483858,-12428.5060696772,-12320.0408894824
"48","MSGARCH-3","sged-snorm-snorm",6251.2901216651,-12464.5802433302,-12350.0892197913
"49","MSGARCH-3","norm-std-snorm",6045.74754397717,-12057.4950879543,-11955.0557511038
"50","MSGARCH-3","snorm-std-snorm",6250.30309809269,-12464.6061961854,-12356.1410159907
"51","MSGARCH-3","std-std-snorm",6258.47832674823,-12480.9566534965,-12372.4914733017
"52","MSGARCH-3","sstd-std-snorm",6286.38790346582,-12534.7758069316,-12420.2847833928
"53","MSGARCH-3","ged-std-snorm",6250.74385453725,-12465.4877090745,-12357.0225288798
"54","MSGARCH-3","sged-std-snorm",6287.26391554171,-12536.5278310834,-12422.0368075445
"55","MSGARCH-3","norm-sstd-snorm",6059.86273080393,-12083.7254616079,-11975.2602814131
"56","MSGARCH-3","snorm-sstd-snorm",6247.17746805275,-12456.3549361055,-12341.8639125666
"57","MSGARCH-3","std-sstd-snorm",6284.74997512347,-12531.4999502469,-12417.0089267081
"58","MSGARCH-3","sstd-sstd-snorm",6287.20667394079,-12534.4133478816,-12413.8964809986
"59","MSGARCH-3","ged-sstd-snorm",6290.67569170318,-12543.3513834064,-12428.8603598675
"60","MSGARCH-3","sged-sstd-snorm",6292.29485600236,-12544.5897120047,-12424.0728451217
"61","MSGARCH-3","norm-ged-snorm",6083.04196225608,-12132.0839245122,-12029.6445876616
"62","MSGARCH-3","snorm-ged-snorm",6246.70860548432,-12457.4172109686,-12348.9520307739
"63","MSGARCH-3","std-ged-snorm",6284.54925143133,-12533.0985028627,-12424.6333226679
"64","MSGARCH-3","sstd-ged-snorm",6294.05120243269,-12550.1024048654,-12435.6113813265
"65","MSGARCH-3","ged-ged-snorm",6245.00427445832,-12454.0085489166,-12345.5433687219
"66","MSGARCH-3","sged-ged-snorm",6295.51717861541,-12553.0343572308,-12438.543333692
"67","MSGARCH-3","norm-sged-snorm",6085.97532741772,-12135.9506548354,-12027.4854746407
"68","MSGARCH-3","snorm-sged-snorm",6240.87665110949,-12443.753302219,-12329.2622786801
"69","MSGARCH-3","std-sged-snorm",6295.91447413808,-12553.8289482762,-12439.3379247373
"70","MSGARCH-3","sstd-sged-snorm",6299.30073030804,-12558.6014606161,-12438.0845937331
"71","MSGARCH-3","ged-sged-snorm",6262.63244946659,-12487.2648989332,-12372.7738753943
"72","MSGARCH-3","sged-sged-snorm",6262.68294803524,-12485.3658960705,-12364.8490291875
"73","MSGARCH-3","norm-norm-std",6170.40629128279,-12308.8125825656,-12212.3990890592
